agency_cd,site_no,datetime,tz_cd,313338_99133,313338_99133_cd
5s,15s,20d,6s,14n,10s
USGS,11455385,2023-02-24 00:00,PST,0.49,P
USGS,11455385,2023-02-24 00:15,PST,0.49,P
USGS,11455385,2023-02-24 00:30,PST,0.50,P
USGS,11455385,2023-02-24 00:45,PST,0.50,P
USGS,11455385,2023-02-24 01:00,PST,0.51,P
USGS,11455385,2023-02-24 01:15,PST,0.51,P
USGS,11455385,2023-02-24 01:30,PST,0.52,P
USGS,11455385,2023-02-24 01:45,PST,0.52,P
USGS,11455385,2023-02-24 02:00,PST,0.51,P
USGS,11455385,2023-02-24 02:15,PST,0.50,P
USGS,11455385,2023-02-24 02:30,PST,0.50,P
USGS,11455385,2023-02-24 02:45,PST,0.49,P
USGS,11455385,2023-02-24 03:00,PST,0.49,P
USGS,11455385,2023-02-24 03:15,PST,0.48,P
USGS,11455385,2023-02-24 03:30,PST,0.48,P
USGS,11455385,2023-02-24 03:45,PST,0.47,P
USGS,11455385,2023-02-24 04:00,PST,0.47,P
USGS,11455385,2023-02-24 04:15,PST,0.47,P
USGS,11455385,2023-02-24 04:30,PST,0.47,P
USGS,11455385,2023-02-24 04:45,PST,0.47,P
USGS,11455385,2023-02-24 05:00,PST,0.47,P
USGS,11455385,2023-02-24 05:15,PST,0.47,P
USGS,11455385,2023-02-24 05:30,PST,0.47,P
USGS,11455385,2023-02-24 05:45,PST,0.47,P
USGS,11455385,2023-02-24 06:00,PST,0.47,P
USGS,11455385,2023-02-24 06:15,PST,0.47,P
USGS,11455385,2023-02-24 06:30,PST,0.47,P
USGS,11455385,2023-02-24 06:45,PST,0.47,P
USGS,11455385,2023-02-24 07:00,PST,0.47,P
USGS,11455385,2023-02-24 07:15,PST,0.47,P
USGS,11455385,2023-02-24 07:30,PST,0.47,P
USGS,11455385,2023-02-24 07:45,PST,0.47,P
USGS,11455385,2023-02-24 08:00,PST,0.48,P
USGS,11455385,2023-02-24 08:15,PST,0.47,P
USGS,11455385,2023-02-24 08:30,PST,0.47,P
USGS,11455385,2023-02-24 08:45,PST,0.47,P
USGS,11455385,2023-02-24 09:00,PST,0.47,P
USGS,11455385,2023-02-24 09:15,PST,0.47,P
USGS,11455385,2023-02-24 09:30,PST,0.47,P
USGS,11455385,2023-02-24 09:45,PST,0.47,P
USGS,11455385,2023-02-24 10:00,PST,0.47,P
USGS,11455385,2023-02-24 10:15,PST,0.47,P
USGS,11455385,2023-02-24 10:30,PST,0.46,P
USGS,11455385,2023-02-24 10:45,PST,0.46,P
USGS,11455385,2023-02-24 11:00,PST,0.46,P
USGS,11455385,2023-02-24 11:15,PST,0.47,P
USGS,11455385,2023-02-24 11:30,PST,0.47,P
USGS,11455385,2023-02-24 11:45,PST,0.47,P
USGS,11455385,2023-02-24 12:00,PST,0.47,P
USGS,11455385,2023-02-24 12:15,PST,0.47,P
USGS,11455385,2023-02-24 12:30,PST,0.47,P
USGS,11455385,2023-02-24 12:45,PST,0.48,P
USGS,11455385,2023-02-24 13:00,PST,0.49,P
USGS,11455385,2023-02-24 13:15,PST,0.48,P
USGS,11455385,2023-02-24 13:30,PST,0.49,P
USGS,11455385,2023-02-24 13:45,PST,0.50,P
USGS,11455385,2023-02-24 14:00,PST,0.50,P
USGS,11455385,2023-02-24 14:15,PST,0.50,P
USGS,11455385,2023-02-24 14:30,PST,0.51,P
USGS,11455385,2023-02-24 14:45,PST,0.51,P
USGS,11455385,2023-02-24 15:00,PST,0.51,P
USGS,11455385,2023-02-24 15:15,PST,0.52,P
USGS,11455385,2023-02-24 15:30,PST,0.52,P
USGS,11455385,2023-02-24 15:45,PST,0.52,P
USGS,11455385,2023-02-24 16:00,PST,0.51,P
USGS,11455385,2023-02-24 16:15,PST,0.50,P
USGS,11455385,2023-02-24 16:30,PST,0.51,P
USGS,11455385,2023-02-24 16:45,PST,0.49,P
USGS,11455385,2023-02-24 17:00,PST,0.45,P
USGS,11455385,2023-02-24 17:15,PST,0.48,P
USGS,11455385,2023-02-24 17:30,PST,0.48,P
USGS,11455385,2023-02-24 17:45,PST,0.48,P
USGS,11455385,2023-02-24 18:00,PST,0.48,P
USGS,11455385,2023-02-24 18:15,PST,0.48,P
USGS,11455385,2023-02-24 18:30,PST,0.48,P
USGS,11455385,2023-02-24 18:45,PST,0.48,P
USGS,11455385,2023-02-24 19:00,PST,0.48,P
USGS,11455385,2023-02-24 19:15,PST,0.48,P
USGS,11455385,2023-02-24 19:30,PST,0.47,P
USGS,11455385,2023-02-24 19:45,PST,0.47,P
USGS,11455385,2023-02-24 20:00,PST,0.47,P
USGS,11455385,2023-02-24 20:15,PST,0.47,P
USGS,11455385,2023-02-24 20:30,PST,0.47,P
USGS,11455385,2023-02-24 20:45,PST,0.47,P
USGS,11455385,2023-02-24 21:00,PST,0.46,P
USGS,11455385,2023-02-24 21:15,PST,0.45,P
USGS,11455385,2023-02-24 21:30,PST,0.47,P
USGS,11455385,2023-02-24 21:45,PST,0.47,P
USGS,11455385,2023-02-24 22:00,PST,0.47,P
USGS,11455385,2023-02-24 22:15,PST,0.47,P
USGS,11455385,2023-02-24 22:30,PST,0.47,P
USGS,11455385,2023-02-24 22:45,PST,0.47,P
USGS,11455385,2023-02-24 23:00,PST,0.47,P
USGS,11455385,2023-02-24 23:15,PST,0.47,P
USGS,11455385,2023-02-24 23:30,PST,0.47,P
USGS,11455385,2023-02-24 23:45,PST,0.48,P
USGS,11455385,2023-02-25 00:00,PST,0.47,P
USGS,11455385,2023-02-25 00:15,PST,0.48,P
USGS,11455385,2023-02-25 00:30,PST,0.48,P
USGS,11455385,2023-02-25 00:45,PST,0.49,P
USGS,11455385,2023-02-25 01:00,PST,0.49,P
USGS,11455385,2023-02-25 01:15,PST,0.50,P
USGS,11455385,2023-02-25 01:30,PST,0.49,P
USGS,11455385,2023-02-25 01:45,PST,0.50,P
USGS,11455385,2023-02-25 02:00,PST,0.50,P
USGS,11455385,2023-02-25 02:15,PST,0.51,P
USGS,11455385,2023-02-25 02:30,PST,0.51,P
USGS,11455385,2023-02-25 02:45,PST,0.51,P
USGS,11455385,2023-02-25 03:00,PST,0.51,P
USGS,11455385,2023-02-25 03:15,PST,0.51,P
USGS,11455385,2023-02-25 03:30,PST,0.51,P
USGS,11455385,2023-02-25 03:45,PST,0.48,P
USGS,11455385,2023-02-25 04:00,PST,0.45,P
USGS,11455385,2023-02-25 04:15,PST,0.47,P
USGS,11455385,2023-02-25 04:30,PST,0.47,P
USGS,11455385,2023-02-25 04:45,PST,0.47,P
USGS,11455385,2023-02-25 05:00,PST,0.47,P
USGS,11455385,2023-02-25 05:15,PST,0.47,P
USGS,11455385,2023-02-25 05:30,PST,0.47,P
USGS,11455385,2023-02-25 05:45,PST,0.47,P
USGS,11455385,2023-02-25 06:00,PST,0.47,P
USGS,11455385,2023-02-25 06:15,PST,0.47,P
USGS,11455385,2023-02-25 06:30,PST,0.47,P
USGS,11455385,2023-02-25 06:45,PST,0.46,P
USGS,11455385,2023-02-25 07:00,PST,0.46,P
USGS,11455385,2023-02-25 07:15,PST,0.46,P
USGS,11455385,2023-02-25 07:30,PST,0.46,P
USGS,11455385,2023-02-25 07:45,PST,0.46,P
USGS,11455385,2023-02-25 08:00,PST,0.46,P
USGS,11455385,2023-02-25 08:15,PST,0.46,P
USGS,11455385,2023-02-25 08:30,PST,0.46,P
USGS,11455385,2023-02-25 08:45,PST,0.46,P
USGS,11455385,2023-02-25 09:00,PST,0.46,P
USGS,11455385,2023-02-25 09:15,PST,0.46,P
USGS,11455385,2023-02-25 09:30,PST,0.46,P
USGS,11455385,2023-02-25 09:45,PST,0.46,P
USGS,11455385,2023-02-25 10:00,PST,0.46,P
USGS,11455385,2023-02-25 10:15,PST,0.46,P
USGS,11455385,2023-02-25 10:30,PST,0.46,P
USGS,11455385,2023-02-25 10:45,PST,0.46,P
USGS,11455385,2023-02-25 11:00,PST,0.46,P
USGS,11455385,2023-02-25 11:15,PST,0.46,P
USGS,11455385,2023-02-25 11:30,PST,0.46,P
USGS,11455385,2023-02-25 11:45,PST,0.46,P
USGS,11455385,2023-02-25 12:00,PST,0.46,P
USGS,11455385,2023-02-25 12:15,PST,0.46,P
USGS,11455385,2023-02-25 12:30,PST,0.47,P
USGS,11455385,2023-02-25 12:45,PST,0.47,P
USGS,11455385,2023-02-25 13:00,PST,0.47,P
USGS,11455385,2023-02-25 13:15,PST,0.47,P
USGS,11455385,2023-02-25 13:30,PST,0.48,P
USGS,11455385,2023-02-25 13:45,PST,0.48,P
USGS,11455385,2023-02-25 14:00,PST,0.48,P
USGS,11455385,2023-02-25 14:15,PST,0.48,P
USGS,11455385,2023-02-25 14:30,PST,0.49,P
USGS,11455385,2023-02-25 14:45,PST,0.50,P
USGS,11455385,2023-02-25 15:00,PST,0.49,P
USGS,11455385,2023-02-25 15:15,PST,0.50,P
USGS,11455385,2023-02-25 15:30,PST,0.50,P
USGS,11455385,2023-02-25 15:45,PST,0.51,P
USGS,11455385,2023-02-25 16:00,PST,0.51,P
USGS,11455385,2023-02-25 16:15,PST,0.51,P
USGS,11455385,2023-02-25 16:30,PST,0.52,P
USGS,11455385,2023-02-25 16:45,PST,0.51,P
USGS,11455385,2023-02-25 17:00,PST,0.51,P
USGS,11455385,2023-02-25 17:15,PST,0.52,P
USGS,11455385,2023-02-25 17:30,PST,0.51,P
USGS,11455385,2023-02-25 17:45,PST,0.50,P
USGS,11455385,2023-02-25 18:00,PST,0.50,P
USGS,11455385,2023-02-25 18:15,PST,0.43,P
USGS,11455385,2023-02-25 18:30,PST,0.45,P
USGS,11455385,2023-02-25 18:45,PST,0.47,P
USGS,11455385,2023-02-25 19:00,PST,0.47,P
USGS,11455385,2023-02-25 19:15,PST,0.47,P
